id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
2,2048,50,,
7,2048,50,,
5,2048,50,,
10,2048,50,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,2023,60,,
6,2048,60,,
2,2048,50,,
7,2048,50,,
5,1030,50,,
10,3094,50,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,2
1,2525,60,,
6,2048,60,,
2,2048,50,,
7,2048,50,,
5,1543,100,,
10,3094,100,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,3
1,2023,60,,
6,1547,60,,
2,2048,50,,
7,2048,50,,
5,1030,100,,
10,2543,100,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,4
1,2525,60,,
6,2048,60,,
2,2048,50,,
7,2048,50,,
5,1543,100,,
10,3094,100,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,5
1,2023,50,,
6,1547,50,,
2,2048,50,,
7,2048,50,,
5,2048,50,,
10,2543,50,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,6
1,2023,50,,
6,2048,50,,
2,2048,50,,
7,2048,50,,
5,2048,50,,
10,2048,50,,
3,1833,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,7
