         pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,3014,50,,
6,980,50,,
7,2048,50,,
2,2048,50,,
5,2015,50,,
10,2006,50,,
3,1864,50,,
8,533,50,,
4,494,50,,
9,457,50,,
,,,3,2
1,2828,50,,
6,1097,50,,
7,1733,50,,
2,2310,50,,
5,1838,50,,
10,2189,50,,
3,2465,50,,
8,431,50,,
4,562,50,,
9,426,50,,
,,,1.5,3
1,2828,50,,
6,1097,50,,
7,1733,50,,
2,2310,50,,
5,1838,50,,
10,2189,50,,
3,2465,50,,
8,431,50,,
4,562,50,,
9,699,50,,
,,,1.75,4
1,2828,50,,
6,1097,50,,
7,1733,50,,
2,2310,50,,
5,1838,50,,
10,2189,50,,
3,2465,50,,
8,431,50,,
4,562,50,,
9,426,50,,
,,,1.75,5
1,2828,50,,
6,1097,50,,
7,1733,50,,
2,2310,50,,
5,1838,50,,
10,2189,50,,
3,2465,50,,
8,431,50,,
4,562,50,,
9,699,50,,
,,,1.75,6
1,3014,50,,
6,1097,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2006,50,,
3,1864,50,,
8,533,50,,
4,494,50,,
9,457,50,,
,,,2,7
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,8
