id,pos,speed,delay
1,2021,50,,
2,2087,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1708,50,,
7,2048,50,,
8,529,50,,
9,447,50,,
10,2759,50,,
,,,3,1
1,2021,50,,
2,2087,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1707,50,,
7,2048,50,,
8,817,50,,
9,452,50,,
10,2771,50,,
,,,3,2
1,2021,50,,
2,2087,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1708,50,,
7,2048,50,,
8,818,50,,
9,201,50,,
10,2769,50,,
,,,3,3
1,2021,50,,
2,2086,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1711,50,,
7,2048,50,,
8,819,50,,
9,579,50,,
10,2769,50,,
,,,3,4
1,2021,50,,
2,2087,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1709,50,,
7,2048,50,,
8,825,50,,
9,193,50,,
10,2771,50,,
,,,3,5
1,2021,50,,
2,2087,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1695,50,,
7,2048,50,,
8,835,50,,
9,628,50,,
10,2734,50,,
,,,3,6
1,2021,50,,
2,2094,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,1706,50,,
7,2048,50,,
8,517,50,,
9,449,50,,
10,2742,50,,
,,,3,7
1,2021,50,,
2,2062,50,,
3,1883,50,,
4,511,50,,
5,2050,50,,
6,2051,50,,
7,2048,50,,
8,523,50,,
9,448,50,,
10,2042,50,,
,,,3,8
