id,pos,speed,delay
1,1922,50,
6,2046,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2973,50,
6,1000,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2973,50,
6,1000,50,
7,1727,50,
2,2388,50,
3,838,50,
8,208,50,
4,640,50,
9,318,50,
,,,3
1, 2973, 50,
6, 1000, 50,
7, 1550, 25,
2, 2550, 25,
3, 838, 50,
8, 208, 50,
4, 930, 180,
9, 35, 180,
,,,2
1, 2973, 50,
6, 1000, 50,
7, 1727, 25,
2, 2388, 25,
3, 838, 50,
8, 208, 50,
4, 497, 170,
9, 458, 170,
,,,1.25
1, 2973, 50,
6, 1000, 50,
7, 1550, 25,
2, 2550, 25,
4, 930, 210,
9, 35, 210,
3, 838, 50,
8, 208, 50,
,,,1.25
1, 2973, 50,
6, 1000, 50,
7, 1727, 25,
2, 2388, 25,
3, 838, 50,
8, 208, 50,
4, 497, 180,
9, 458, 180,
,,,2
