id,pos,speed,delay
1,1922,50,
6,2046,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,10,50,
8,517,50,
4,512,50,
9,450,50,
,,,2
1,4009,50,
6,30,50,
7,1848,50,
2,2228,50,
3,10,50,
8,517,50,
4,512,70,
9,450,70,
,,,2
1,4009,50,
6,30,50,
7,1848,50,
2,2228,50,
3,10,50,
8,517,50,
4,250,70,
9,750,70,
,,,2
1,4009,50,
6,30,50,
7,1848,50,
2,2228,50,
3,10,50,
8,517,50,
4,512,70,
9,450,70,
,,,2
1,4009,50,
6,30,50,
7,1848,50,
2,2228,50,
3,10,50,
8,517,50,
4,250,70,
9,750,70,
,,,2
1,2973,50,
6,1000,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,70,
4,512,50,
9,450,70,
,,,2
