id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,2,1
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,2,2
1,2525,50,,
6,1547,50,,
7,2048,50,,
2,2048,50,,
5,1543,50,,
10,2543,50,,
3,1883,50,,
8,512,50,,
4,398,50,,
9,574,50,,
,,,3,3
1,2325,50,,
6,1347,50,,
7,2048,50,,
2,2048,50,,
5,1543,50,,
10,2543,50,,
3,1883,50,,
8,512,50,,
4,398,50,,
9,574,50,,
,,,0.5,4
1,2725,50,,
6,1747,50,,
7,2048,50,,
2,2048,50,,
5,1543,50,,
10,2543,50,,
3,1883,50,,
8,512,50,,
4,398,50,,
9,574,50,,
,,,0.5,5
1,2325,50,,
6,1347,50,,
7,2048,50,,
2,2048,50,,
5,1543,50,,
10,2543,50,,
3,1883,50,,
8,512,50,,
4,398,50,,
9,574,50,,
,,,0.5,6
1,2725,50,,
6,1724,50,,
7,2048,50,,
2,2048,50,,
5,1543,50,,
10,2543,50,,
3,1883,50,,
8,512,50,,
4,398,50,,
9,574,50,,
,,,0.5,7
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,110,,
,,,3,8
