id,pos,speed,delay,
1,2979,50,,
2,1035,50,,
3,2848,50,,
4,559,50,,
5,964,50,,
6,1090,50,,
7,3014,50,,
8,219,50,,
9,433,50,,
10,3080,50,,
,,,3,1
1,3004,50,,
2,1042,50,,
3,2880,50,,
4,550,50,,
5,619,50,,
6,1091,50,,
7,3038,50,,
8,203,50,,
9,410,50,,
10,3413,50,,
,,,3,2
1,2996,50,,
2,1052,50,,
3,2900,50,,
4,855,50,,
5,570,50,,
6,1091,50,,
7,3069,50,,
8,216,50,,
9,151,50,,
10,3392,50,,
,,,3,3
1,2997,50,,
2,1052,50,,
3,2901,50,,
4,528,50,,
5,624,50,,
6,1091,50,,
7,2999,50,,
8,217,50,,
9,441,50,,
10,3394,50,,
,,,3,4
1,2991,50,,
2,1061,50,,
3,2899,50,,
4,524,50,,
5,995,50,,
6,1021,50,,
7,3059,50,,
8,211,50,,
9,444,50,,
10,3059,50,,
,,,3,5
1,1974,50,,
2,2018,50,,
3,1848,50,,
4,514,50,,
5,2047,50,,
6,2033,50,,
7,2071,50,,
8,517,50,,
9,435,50,,
10,2022,50,,
,,,3,6
