id,pos,speed,delay
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2000,50,
6,1990,50,
2,1247,50,
7,2908,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,2000,50,
6,1990,50,
2,1247,50,
7,2908,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3
