id,pos,speed,delay,
1,1999,50,,
2,2035,50,,
3,2313,50,,
4,488,50,,
5,1084,50,,
6,2034,50,,
7,2094,50,,
8,413,50,,
9,466,50,,
10,3036,50,,
,,,3,1
1,3002,50,,
2,2084,50,,
3,2404,50,,
4,565,50,,
5,2064,50,,
6,1092,50,,
7,2026,50,,
8,408,50,,
9,420,50,,
10,2097,50,,
,,,3,2
1,2020,50,,
2,2087,50,,
3,2285,50,,
4,534,50,,
5,1086,50,,
6,2051,50,,
7,2015,50,,
8,388,50,,
9,433,50,,
10,3032,50,,
,,,3,3
1,3002,50,,
2,2084,50,,
3,2404,50,,
4,565,50,,
5,2064,50,,
6,1092,50,,
7,2026,50,,
8,408,50,,
9,420,50,,
10,2097,50,,
,,,3,4
1,2020,50,,
2,2087,50,,
3,2285,50,,
4,534,50,,
5,1086,50,,
6,2051,50,,
7,2015,50,,
8,388,50,,
9,433,50,,
10,3032,50,,
,,,3,5
1,2011,50,,
2,2041,50,,
3,1850,50,,
4,548,50,,
5,1085,50,,
6,2036,50,,
7,2049,50,,
8,512,50,,
9,444,50,,
10,3079,50,,
,,,3,6
1,1963,50,,
2,2035,50,,
3,1852,50,,
4,548,50,,
5,2046,50,,
6,2068,50,,
7,2040,50,,
8,511,50,,
9,444,50,,
10,2060,50,,
,,,3,7
