id,pos,speed,delay,
1,1962,50,,
2,1039,50,,
3,1860,50,,
4,857,50,,
5,2103,50,,
6,1996,50,,
7,3059,50,,
8,558,50,,
9,112,50,,
10,2036,50,,
,,,3,1
1,2006,50,,
2,1052,50,,
3,1861,50,,
4,218,50,,
5,2105,50,,
6,1968,50,,
7,3042,50,,
8,548,50,,
9,718,50,,
10,2054,50,,
,,,3,2
1,2002,50,,
2,1066,50,,
3,1860,50,,
4,870,50,,
5,2043,50,,
6,2031,50,,
7,3055,50,,
8,513,50,,
9,92,50,,
10,2039,50,,
,,,3,3
1,2006,50,,
2,1052,50,,
3,1861,50,,
4,218,50,,
5,2105,50,,
6,1968,50,,
7,3042,50,,
8,548,50,,
9,718,50,,
10,2054,50,,
,,,3,4
1,1991,50,,
2,1046,50,,
3,1862,50,,
4,540,50,,
5,2031,50,,
6,2048,50,,
7,3049,50,,
8,493,50,,
9,460,50,,
10,2080,50,,
,,,3,5
1,1989,50,,
2,2027,50,,
3,1862,50,,
4,544,50,,
5,2031,50,,
6,2057,50,,
7,2041,50,,
8,527,50,,
9,433,50,,
10,2069,50,,
,,,3,6
