id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,2,1
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,2,2
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,2,3
1,3059,50,,
6,987,50,,
7,1556,50,,
2,2420,50,,
5,1371,50,,
10,2722,50,,
3,1883,50,,
8,512,50,,
4,399,50,,
9,571,50,,
,,,0.5,4
1,3059,50,,
6,987,50,,
7,1556,50,,
2,2420,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,399,50,,
9,571,50,,
,,,0.5,5
1,3059,50,,
6,987,50,,
7,1556,50,,
2,2420,50,,
5,1371,50,,
10,2722,50,,
3,1883,50,,
8,512,50,,
4,399,50,,
9,571,50,,
,,,0.5,6
1,3059,50,,
6,987,50,,
7,1556,50,,
2,2420,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,399,50,,
9,571,50,,
,,,0.5,7
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,1.5,8
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2048,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,9
