id,pos,speed,delay
1,2000,50,
6,1990,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2982,50,
6,1000,50,
2,2460,50,
7,1700,50,
3,838,50,
8,509,60,
4,512,50,
9,590,60,
,,,2.5
1,3150,50,
6,1000,50,
2,2460,50,
7,1700,50,
3,838,50,
8,509,50,
4,512,50,
9,590,50,
,,,1
1,2882,50,
6,1000,50,
2,2460,50,
7,1700,50,
3,838,50,
8,509,50,
4,512,50,
9,590,50,
,,,1
1,3150,50,
6,1000,50,
2,2460,50,
7,1700,50,
3,838,50,
8,509,50,
4,512,50,
9,590,50,
,,,1
1,2882,50,
6,1000,50,
2,2460,50,
7,1700,50,
3,838,50,
8,509,50,
4,512,50,
9,590,50,
,,,1
1,2982,50,
6,1000,50,
2,2048,50,
7,2048,50,
3,838,50,
8,208,60,
4,512,50,
9,450,60,
,,,3
