id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,825,50,,
8,825,50,,
4,512,50,,
9,432,50,,
,,,3,2
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,1030,50,,
10,3094,50,,
3,825,50,,
8,825,50,,
4,304,50,,
9,723,50,,
,,,3,3
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,80,,
,,,3,4
