id,pos,speed,delay
1,1922,50,
6,2046,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,3
1,2715,100,
6,2404,50,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,1593,80,
6,1250,80,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,2715,80,
6,2404,80,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,1593,80,
6,1250,80,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
1,1922,50,
6,2046,80,
7,2048,50,
2,2048,50,
3,838,50,
8,208,50,
4,512,50,
9,450,50,
,,,2
