id,pos,speed,delay
1,2023,50,
6,2048,50,
2,2048,50,
7,2048,50,
5,2048,50,
10,2048,50,
3,1833,50,
8,512,50,
4,512,50,
9,432,50,
,,,3
1,3063,50,
6,1008,50,
2,2048,50,
7,2048,50,
5,2048,50,
10,2048,50,
3,1833,50,
8,512,50,
4,512,50,
9,432,50,
,,,3
1,3063,50,
6,1008,50,
2,1046,50,
7,3000,50,
5,2048,50,
10,2048,50,
3,2926,50,
8,212,50,
4,512,50,
9,432,50,
,,,3
1,3063,50,
6,1008,50,
2,1046,50,
7,3000,50,
5,1004,50,
10,3047,50,
3,2926,50,
8,212,50,
4,512,50,
9,432,50,
,,,3
1,3063,50,
6,1008,50,
2,1046,50,
7,3000,50,
5,1004,50,
10,3047,50,
3,2926,50,
8,212,50,
4,354,50,
9,605,50,
,,,2
1,3063,50,
6,1008,50,
2,2048,50,
7,2048,50,
5,2048,50,
10,2048,50,
3,1833,50,
8,512,50,
4,512,50,
9,432,50,
,,,1
1,2023,50,
6,2048,50,
2,2048,50,
7,2048,50,
5,2048,50,
10,2048,50,
3,1833,50,
8,512,50,
4,512,50,
9,432,50,
,,,3
