id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,3027,50,,
6,973,50,,
7,2016,50,,
2,2047,50,,
5,930,50,,
10,3000,50,,
3,1840,50,,
8,517,50,,
4,546,50,,
9,437,50,,
,,,3,2
1,3027,50,,
6,973,50,,
7,2016,50,,
2,2047,50,,
5,930,50,,
10,3000,50,,
3,1840,50,,
8,517,50,,
4,276,50,,
9,679,50,,
,,,1.75,3
1,3027,50,,
6,973,50,,
7,2016,50,,
2,2047,50,,
5,930,50,,
10,3000,50,,
3,1840,50,,
8,517,50,,
4,546,50,,
9,437,50,,
,,,1.75,4
1,3027,50,,
6,973,50,,
7,2016,50,,
2,2047,50,,
5,930,50,,
10,3000,50,,
3,1840,50,,
8,517,50,,
4,276,50,,
9,679,50,,
,,,1.75,5
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,6
