id,pos,speed,delay,
1,4006,50,,
2,2081,50,,
3,1886,50,,
4,521,50,,
5,1968,50,,
6,68,50,,
7,2044,50,,
8,502,50,,
9,440,50,,
10,2116,50,,
,,,3,1
1,4000,50,,
2,2079,50,,
3,914,50,,
4,534,50,,
5,1966,50,,
6,72,50,,
7,2046,50,,
8,818,50,,
9,427,50,,
10,2118,50,,
,,,3,2
1,3999,50,,
2,2085,50,,
3,914,50,,
4,235,50,,
5,1970,50,,
6,75,50,,
7,2048,50,,
8,814,50,,
9,739,50,,
10,2117,50,,
,,,3,3
1,3999,50,,
2,2085,50,,
3,914,50,,
4,541,50,,
5,1964,50,,
6,75,50,,
7,2048,50,,
8,814,50,,
9,434,50,,
10,2121,50,,
,,,3,4
1,3985,50,,
2,2085,50,,
3,914,50,,
4,224,50,,
5,1970,50,,
6,75,50,,
7,2031,50,,
8,819,50,,
9,762,50,,
10,2119,50,,
,,,3,5
1,3964,50,,
2,2088,50,,
3,1801,50,,
4,580,50,,
5,1950,50,,
6,75,50,,
7,2029,50,,
8,500,50,,
9,418,50,,
10,2124,50,,
,,,3,6
1,2004,50,,
2,2045,50,,
3,1867,50,,
4,525,50,,
5,2075,50,,
6,2118,50,,
7,2079,50,,
8,524,50,,
9,402,50,,
10,2072,50,,
,,,3,7
