id,pos,speed,delay,
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2048,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,3059,50,,
6,987,50,,
7,2724,50,,
2,1498,50,,
5,1013,50,,
10,2045,50,,
3,2886,50,,
8,215,50,,
4,512,50,,
9,512,50,,
,,,3,2
1,3059,50,,
6,987,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2048,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,3
1,3059,50,,
6,987,50,,
7,2724,50,,
2,1498,50,,
5,2052,50,,
10,2045,50,,
3,2886,50,,
8,215,50,,
4,512,50,,
9,512,50,,
,,,3,4
