id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,1
1,2235,50,,
6,2246,50,,
7,2098,50,,
2,2036,50,,
5,1934,50,,
10,1994,50,,
3,1817,50,,
8,547,50,,
4,525,50,,
9,442,50,,
,,,1.75,2
1,1928,50,,
6,1802,50,,
7,2095,50,,
2,2062,50,,
5,2069,50,,
10,2032,50,,
3,1792,50,,
8,531,50,,
4,513,50,,
9,441,50,,
,,,1.75,3
1,2235,50,,
6,2246,50,,
7,2098,50,,
2,2036,50,,
5,1934,50,,
10,1994,50,,
3,1817,50,,
8,547,50,,
4,525,50,,
9,442,50,,
,,,1.75,4
1,1928,50,,
6,1802,50,,
7,2095,50,,
2,2062,50,,
5,2069,50,,
10,2032,50,,
3,1792,50,,
8,531,50,,
4,512,50,,
9,441,50,,
,,,1.75,5
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2048,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,6
