id,pos,speed,delay,
1,1998,50,,
2,2058,50,,
3,804,50,,
4,529,50,,
5,1055,50,,
6,2051,50,,
7,2029,50,,
8,834,50,,
9,485,50,,
10,3067,50,,
,,,3,1
1,3017,50,,
2,2011,50,,
3,823,50,,
4,550,50,,
5,2027,50,,
6,2122,50,,
7,2009,50,,
8,796,50,,
9,449,50,,
10,3223,50,,
,,,3,2
1,2010,50,,
2,2032,50,,
3,801,50,,
4,544,50,,
5,987,50,,
6,1073,50,,
7,2052,50,,
8,814,50,,
9,334,50,,
10,2060,50,,
,,,3,3
1,3017,50,,
2,2011,50,,
3,823,50,,
4,550,50,,
5,2027,50,,
6,2122,50,,
7,2009,50,,
8,796,50,,
9,449,50,,
10,3223,50,,
,,,3,4
1,1990,50,,
2,2051,50,,
3,794,50,,
4,511,50,,
5,1064,50,,
6,2051,50,,
7,2048,50,,
8,831,50,,
9,523,50,,
10,3116,50,,
,,,3,5
1,1995,50,,
2,2053,50,,
3,1845,50,,
4,508,50,,
5,1058,50,,
6,2052,50,,
7,2047,50,,
8,516,50,,
9,424,50,,
10,3062,50,,
,,,3,6
1,1977,50,,
2,2052,50,,
3,1843,50,,
4,509,50,,
5,2048,50,,
6,2038,50,,
7,2047,50,,
8,516,50,,
9,424,50,,
10,2010,50,,
,,,3,7
