id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,1
1,3601,50,,
6,2048,50,,
7,2287,50,,
2,2048,50,,
5,1527,50,,
10,2018,50,,
3,825,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,1,2
1,3601,50,,
6,2048,50,,
7,1600,50,,
2,2048,50,,
5,1527,50,,
10,2018,50,,
3,825,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.3,2
1,3601,50,,
6,2048,50,,
7,2600,50,,
2,2048,50,,
5,1527,50,,
10,2018,50,,
3,825,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.3,2
1,3601,50,,
6,2048,50,,
7,1600,50,,
2,2048,50,,
5,1527,50,,
10,2018,50,,
3,825,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.3,2
1,3601,50,,
6,2048,50,,
7,2600,50,,
2,2048,50,,
5,1527,50,,
10,2018,50,,
3,825,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.3,2
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,

