id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,1
1,4035,50,,
6,15,50,,
7,2048,50,,
2,2148,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,1,2
1,4035,50,,
6,15,50,,
7,1900,50,,
2,2348,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,325,50,,
9,607,50,,
,,,1,3
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,3,4
