id,pos,speed,delay,
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
,,,0.5,1
1,3601,50,,
6,443,50,,
7,2287,50,,
2,1900,50,,
5,1527,50,,
10,2456,50,,
3,825,50,,
8,437,50,,
4,512,50,,
9,476,50,,
,,,1,2
1,3601,50,,
6,443,50,,
7,1700,50,,
2,2300,50,,
5,1527,50,,
10,2456,50,,
3,825,50,,
8,437,50,,
4,512,50,,
9,476,50,,
11,,5000,,右轉
,,,0.3,3
1,3601,50,,
6,443,50,,
7,2600,50,,
2,1900,50,,
5,1527,50,,
10,2456,50,,
3,825,50,,
8,437,50,,
4,512,50,,
9,476,50,,
11,,10000,,左轉
,,,0.3,4
1,3601,50,,
6,443,50,,
7,1700,50,,
2,2300,50,,
5,1527,50,,
10,2456,50,,
3,825,50,,
8,437,50,,
4,512,50,,
9,476,50,,
11,,10000,,右轉
,,,0.3,5
1,3601,50,,
6,443,50,,
7,2600,50,,
2,1900,50,,
5,1527,50,,
10,2456,50,,
3,825,50,,
8,437,50,,
4,512,50,,
9,476,50,,
11,,5000,,左轉
,,,0.3,6
1,2023,50,,
6,2048,50,,
7,2048,50,,
2,2048,50,,
5,2048,50,,
10,2018,50,,
3,1883,50,,
8,512,50,,
4,512,50,,
9,432,50,,
